,Masechet,Daf,Line,Masechet,Comment
125,Bava Kamma,219,3,זבחים,"ועורות קדשים - עורות עולה וחטאות ואשמות אבל קדשים קלים עורותיהן לבעלים כדאמר בזבחים פרק טבול יום (זבחים דף קג.) ומש""ה קא חשיב להו בהדי הנך דבירושלים למעוטי דאין נחשבים בהדי הנך דגבולים דהני עורות לא מתייהבי להו אלא בירושלים ובהדי הנך דבמקדש לא חשיב אלא הנהו דאי נפקי חוץ לקלעים מפסלי ביוצא:"
126,Bava Kamma,219,0,"שקלים, תמורה",באשם רועה - עד שיומם וימכר ויפלו דמיו לקיץ המזבח עולה לשם ועורה לכהנים זה מדרש דרש יהוידע הכהן בשקלים (דף ט:) ובתמורה (דף כג:) וכל זמן שהוא תם אין יוצא לחולין לימכר לפיכך ירעה והוא מעצמו אין יכול להשתנות מאשם לעולה:
127,Bava Kamma,222,0,שבת,"והיינו דרב פפא דאמר היתה פרה גנובה לו - כלומר גנב פרה מערב שבת וטבח בשבת חייב אף בתשלומין ארבעה וחמשה שהרי נתחייב בקרן קודם שיבא לידי איסור סקילה ואף על גב דקנסא לא אתי עליה עד שבת לא פטרינא ליה מקנסא משום חיוב מיתה דאמר באלו נערות (כתובות דף לד:) קנס חידוש הוא שחידשה תורה הלכך אע""ג דמקטיל משלם:"
128,Bava Kamma,222,1,"שבת, כתובות","היתה פרה שאולה לו וטבחה בשבת פטור - מן הכל דלא אמרינן משעת שאלה מחייב ליה אקרנא וקמה ברשותיה אפילו למלאך המות אלא בשעת טביחה הוא דגזליה ואיסור שבת וגניבה באין כאחד ונפטר מן הקרן משום דקם ליה בדרבה מיניה וקנסא ליכא דהא אין כפל ולא ארבעה וחמשה אלא בגנב עצמו שגנב מבית בעלים או בשומר חנם הבא לפטור עצמו בטענת גניבה אבל שואל ונושא שכר ושוכר שאין יכולין להפטר בטענת גנב אין בהן כפל כדאמר בכמה דוכתי לא אם אמרת בשומר חנם שכן משלם תשלומי כפל תאמר בש""ש כו': שאם אין גניבה אין טביחה ואין מכירה לא גרס ליה ואנן שמעינן כאן ובכתובות וכן פירש לנו רבינו שאם אין גניבה אחר שפטור מן הקרן משום דקם ליה בדרבה מיניה אין טביחה קנס נמי לא משלם ואף על גב דחידוש הוא ואין מיתה פוטרתו הכא דליכא קרן פטור דתשלומי ארבעה וחמשה אמר רחמנא ולא תשלומי ג' וד' וכי מדלית מהכא קרנא הוו להו ג' לצאן וד' לבקר. ולא היה לי לב להבין את מושל שטעם זה אין צריך לכאן שהרי אין קנס בשואל הטובח ואפילו אמרינן כרב פפא דעד השתא קם ברשותא דמרה אפילו הכי גזלן נעשה עליה ולא גנב שאין דין גנב אלא בטוען טענת גנב והוה שומר חנם וכי גרס ליה בכתובות גרסינן ליה ובמלתא דרבא דאמר התם גנב וטבח בשבת פטור שאם אין גניבה כו' דהתם בגנב עצמו קאי וליכא למיפטריה מקנסא אלא משום האי טעמא אבל בדרב פפא ליכא למגרסא לא התם ולא הכא ואיידי דמילתא דרב פפא איתמר התם גבי מלתא דרבא איגרסא נמי אגב שטפא בדרב פפא ותשובות רב האי גאון מסייעא לי:"
129,Bava Kamma,224,0,שבת,קובעין זמן - ליום שני בשבת ואם לא יבא מזמנין אותו ליום חמישי ואם לא יבא מזמנין אותו ליום שני ועד למחר לא כתבינן פתיחא שכל היום ממתינין שמא יבא:
130,Bava Kamma,225,0,ערכין,"ולא לך אלא לגר - בקדושין היא (ד' כ.) ובערכין (דף ל:) כמה קשה אבקה של שביעית אדם שנושא ונותן בפירות שביעית סוף מוכר את עצמו שנאמר ונמכר לך לא לך אלא לכנעני כו' ולע""ז עצמה לחטוב עצים ולשאוב מים ואכולהו קאי גאולה תהיה לו אלמא גזל כנעני אסור:"
131,Bava Kamma,226,0,בבא מציעא,"והאמר מר זבין מעכו""ם כו' - בבבא מציעא בהמקבל:"
132,Bava Kamma,227,0,יבמות,לעדות אשה - שמע מן התינוקות שהיו אומרים הרי אנו הולכין לספוד ולקבור איש פלוני בפ' בתרא דיבמות (דף קכא:):
133,Bava Kamma,232,0,שבת,זרק חץ - בשבת:
134,Bava Kamma,232,1,"ע""ז","עקירה צורך הנחה - דכיון דבין עקירה להנחה קרע נמצא מעשה שבת ומעשה עקירה באין כאחד ולא אמרינן משעת עקירה חייב ממון ומתחייב בנפשו לא הוי עד שעת הנחת חץ והכא נמי הגבהת יין צורך ניסוך הוא ותשלומין וחיוב מיתה דע""ז באין כאחד:"
135,Bava Kamma,232,0,יומא,"מסיים מתיבתא דיומא לרבנן - היה מחזר ושונה להם מה שדרש רבי יוחנן אותו היום לפי שר""ל חכם גדול היה ולאחר ששמעו כולן מפי הרב חוזר ומכוונה בידם:"
136,Bava Kamma,233,1,"ברכות, פסחים","ואי לא הואיל וחליף שעתא - ואתרחיש ניסא חליף ולא אלך עוד עמך שמא תכעוס עלי ואמות עוד פעם אחרת אלא אלך לביתי חי ולא אעמוד עוד אצלך פן אמות פעם אחרת ואית דמפרש הואיל וחליף שעתא וקבלתי צער מיתה לא אקבל עוד פעם אחרת לילך מכאן ובפסחים (דף מט.) מוכח שהלך לביתו דאמר רב כהנא אי לאו דנסיבנא כהנתא לאו אנא גלאי אמרי ליה והא למקום תורה גלית א""ל לאו אנא גלאי כדגלו שאר אינשי שהרי לא בעבור מקום תורה גליתי אלא מאימת מלכות ברחתי אלמא בתר הכי חי הוה ועוד אמרי' בברכות ירושלמי דפגע ביה ההוא גברא אמר ליה מאי עביד בשמיא כלומר שליעג עליו שהיה מת וחיה א""ל גזר דיניה דההוא גברא מחתם ומת ההוא גברא פגע ביה אחרינא אמר ליה הכי נמי ומית אתי לקמיה דר' יוחנן אמר ליה בר איניש דאמיה מבסרא ליה ואנתתיה דאבוה מיקרא כו':"
137,Bava Kamma,233,0,סנהדרין,שנשא ונתן ביד - ובכולם מפרש שנשא ונתן ביד באחד דיני ממונות בסנהדרין:
140,Bava Kamma,237,1,מנחות,הכל עולין למנין תכלת - אותן שלשה חוטין אם לא קצרן הכובס עולין למדת מלא קשר גודל שצריך להרחיק את תכלת של ציצית משפת הבגד במסכת מנחות (דף מב.):
141,Sanhedrin,2,2,בבא קמא,וחבלות - החובל בחבירו חייב בחמשה דברים כדאמרינן בבבא קמא (דף פד.) ואיש כי יתן מום בעמיתו וגו' כן יעשה לו בממון ובגמ' פריך היינו דיני ממונות:
142,Sanhedrin,2,1,יבמות,חליצה בשלשה - ביבמות יליף לה בפרק מצות חליצה (יבמות דף קא.):
143,Sanhedrin,2,2,"ב""ק","הזאב והארי כו' - שהמיתו אדם ונידונין בסקילה כשור דאמרינן בב""ק אחד שור ואחד כו' בשור שנגח את הפרה (דף נד:):"
144,Sanhedrin,8,2,יבמות,"שבט - לשון שררה ויש להן רשות להפקיר דהפקר ב""ד הפקר דכתיב (עזרא י) וכל אשר לא יבא וגו' ביבמות בהאשה רבה (יבמות דף פט:):"
145,Sanhedrin,8,1,פסחים,בני בניו של הלל - הלל נשיא היה כדאמר בפסחים באלו דברים (פסחים דף סו.) הושיבוהו בראש ומינוהו נשיא עליהם:
146,Sanhedrin,8,3,בכורות,יתיר בבכורות - יראה במומין ואם קבוע הוא יתירנו לשוחטו דביומיה דרבי אין לבכור תקנה עד שיפול בו מום דאחר חורבן היה:
147,Sanhedrin,9,2,"עירובין, יומא","כנגד מחנה ישראל - דכל מאן דבעי מילתא אזיל לגבי משה דכתיב (שמות לג) והיה כל מבקש ה' וגו' אע""ג שהמחנה ג' פרסאות ואתו לגבי משה רבותא דמשה שאני מחנה ישראל ג' פרסאות דכתיב (במדבר לג) ויחנו על הירדן מבית הישימות עד אבל השטים ואמר רבה בר בר חנה לדידי חזי לי ההוא אתרא והוה תלתא פרסי בעירובין (דף נה:) וביומא (דף עה:):"
148,Sanhedrin,13,4,שבת,בשבתא דרגלא - שבת ששואלין בו בהלכות הרגל והיינו שלשים יום קודם הרגל:
149,Sanhedrin,14,2,"ב""ק","יומא דדינא - שני וחמישי תקנת עזרא היא בב""ק (דף פב:):"
150,Sanhedrin,16,1,מכות,הא דרבי עקיבא במסכת מכות:
151,Sanhedrin,17,1,"כתובות, מכות","ואין משלמין ממון - אע""פ שהיו מפסידין אותה כתובה אין משלמין טובת הנאת כתובתה כדין שאר זוממי כתובה במסכת מכות (דף ג.) דכיון דבשבילה הן נהרגין אין משלמין לה ממון דמתחייב בנפשו פטור מן התשלומין דכתיב (שמות כ״א:כ״ב) לא יהיה אסון ענוש יענש ואי משום מאה סלע דהוו בעו לאפסודיה לאב והוה ליה מיתה לזה לאשה ותשלומין לזה לאב לאו עלייהו רמו לשלומי אלא על הבעל שהרי על ידן הבעל בא לשלם לאב דכל זמן שלא הביא הבעל עדים שזינתה תחתיו אינו מתחייב לשלם מאה סלע על ידי עצמו כדאמרינן בכתובות (דף מו.) דלא קרינא ביה ואם אמת היה וגו' דבלאו עדים לא מיקטלא הלכך איהו נמי לא מיחייב אלא אם כן הביא עדים שזינתה והוזמו:"
152,Sanhedrin,18,3,תמורה,הדר פשטה - לא אמרינן אדם קרוב אצל ממונו לענין פלגי דיבורא והשור יסקל וכי אמרינן בתמורה (דף כח.) רובע או נרבע על פי הבעלים אסור לגבוה ומותר להדיוט דאינו נסקל הני מילי היכא דלא העידו הבעלים על הרובע מי הוא או העידו ולא היה עד שני עמהם אבל הכא דגברא מיקטיל על פי בעל השור לא פלגינן דיבורא משום ממון:
153,Sanhedrin,18,2,מכות,אין מכין אותו אלא - שמונה עשרה דמכות הראויות להשתלש לשלשה חלקים בעינן שמכה שתי ידות מאחוריו ושליש מלפניו ומקרא נפקא לן באלו הן הלוקין (שם דף כג.):
154,Sanhedrin,19,0,ערכין,"חישוב לא קתני - דנימא שצריך שלשה לחשב אם יעברו את החודש דבחושבנא תליא אע""פ שצריך לעברו כגון משום ירקיא ומשום מתיא אפילו הכי חושבנא בעי כדתנן במסכת ערכין (דף ח:) אין פוחתין מארבעה חדשים המעוברין בשנה ולא נראה לעבר יותר על שמנה אבל תשעה מעוברין לא עבדינן דאם כן קדים ואתי סיהרא תלתא יומי ומחזי שיקרא הלכך צריך לחשב תולדות הלבנה אם תקדום שלשה ימים או שנים לקביעות החדש לא מעברינן ליה דתמהי בה אינשי:"
155,Sanhedrin,20,3,"ע""ז","לקטלא - לשאר מיתות ר""ע במסרקות של ברזל בפרק הרואה (ברכות דף סא:) ר' חנניא בשריפה במסכת ע""ז (דף יח.):"
156,Sanhedrin,21,0,"ברכות, ראש השנה, בכורות","תקיפי קמאי - רבן גמליאל שהיה נוהג שררה וזורק מורא בתלמידים כדאשכחן בבכורות (דף לו.) ובברכות (דף כז:) ובראש השנה (דף כה.) דצעריה לר' יהושע ואפ""ה קתני ביה ושפרא מילתא באנפאי ובאנפי חבראי ורבן שמעון בריה דהוה מעינוותני בתראי כדאמרינן בהשוכר את הפועלים (ב""מ דף פה.) לא אמר באנפי חבראי:"
